"Timestamp";"DateTime";"Temperature";"CO2";"Humidity";"Noise";"Pressure"
1623645341;"2021-06-14 13:35:41";31.3;327;60;49;1007.4
1623645638;"2021-06-14 13:40:38";27.3;323;67;46;1007.5
1623645889;"2021-06-14 13:44:49";29.7;318;63;46;1007.4
1623645960;"2021-06-14 13:46:00";30.5;318;61;48;1007.4
1623646123;"2021-06-14 13:48:43";32;321;57;48;1007.5
1623646426;"2021-06-14 13:53:46";27.5;291;65;48;1007.4
1623646729;"2021-06-14 13:58:49";26.3;281;67;47;1007.4
1623647031;"2021-06-14 14:03:51";25.9;296;69;47;1007.2
1623647333;"2021-06-14 14:08:53";25.7;275;70;46;1007.2
1623647636;"2021-06-14 14:13:56";25.6;265;70;47;1007.1
1623647939;"2021-06-14 14:18:59";25.5;274;71;47;1007.1
1623648241;"2021-06-14 14:24:01";25.3;261;69;47;1007.1
1623648543;"2021-06-14 14:29:03";24.9;245;69;47;1007.1
1623648846;"2021-06-14 14:34:06";24.9;259;71;48;1007.1
1623649148;"2021-06-14 14:39:08";24.9;253;72;47;1007.1
1623649451;"2021-06-14 14:44:11";25.1;260;72;46;1007
1623649752;"2021-06-14 14:49:12";25.2;254;72;45;1006.9
1623650054;"2021-06-14 14:54:14";25.3;252;72;45;1006.8
1623650357;"2021-06-14 14:59:17";25.3;260;72;46;1006.9
1623650659;"2021-06-14 15:04:19";25.3;237;71;46;1006.9
1623650961;"2021-06-14 15:09:21";25.1;237;72;46;1007
1623651265;"2021-06-14 15:14:25";25.1;226;72;46;1006.9
1623651567;"2021-06-14 15:19:27";25.2;237;72;46;1006.9
1623651870;"2021-06-14 15:24:30";25.3;402;72;46;1006.9
1623652172;"2021-06-14 15:29:32";25.3;395;72;45;1006.9
1623652474;"2021-06-14 15:34:34";25.3;376;71;45;1006.9
1623652777;"2021-06-14 15:39:37";25.1;380;71;45;1006.8
1623653079;"2021-06-14 15:44:39";25.1;359;72;45;1006.8
1623653382;"2021-06-14 15:49:42";25.2;369;72;46;1006.7
1623653684;"2021-06-14 15:54:44";25.3;369;72;45;1006.6
1623653987;"2021-06-14 15:59:47";25.3;372;71;46;1006.6
1623654290;"2021-06-14 16:04:50";25.2;369;71;47;1006.7
1623654592;"2021-06-14 16:09:52";25.2;376;72;48;1006.4
1623654894;"2021-06-14 16:14:54";25.3;395;72;48;1006.4
1623655100;"2021-06-14 16:18:20";25.4;387;72;47;1006.4
1623655403;"2021-06-14 16:23:23";25.2;395;70;47;1006.3
1623655705;"2021-06-14 16:28:25";24.9;382;70;46;1006.3
1623656007;"2021-06-14 16:33:27";24.9;401;71;46;1006.2
1623656310;"2021-06-14 16:38:30";25;379;72;46;1006.2
1623656612;"2021-06-14 16:43:32";25.2;381;73;46;1006.1
1623656915;"2021-06-14 16:48:35";25.3;383;73;45;1006.1
1623657217;"2021-06-14 16:53:37";25.4;381;72;46;1006.1
1623657520;"2021-06-14 16:58:40";25.2;369;70;46;1006.1
1623657822;"2021-06-14 17:03:42";25;351;70;46;1006.1
1623658124;"2021-06-14 17:08:44";25;350;71;46;1006.1
1623658426;"2021-06-14 17:13:46";25.1;368;72;46;1006.2
1623658729;"2021-06-14 17:18:49";25.3;361;73;45;1006.1
1623659032;"2021-06-14 17:23:52";25.4;362;73;46;1006.2
1623659333;"2021-06-14 17:28:53";25.5;369;73;47;1006.2
1623659636;"2021-06-14 17:33:56";25.3;383;71;47;1006.2
1623659938;"2021-06-14 17:38:58";25;376;70;47;1006.3
1623660240;"2021-06-14 17:44:00";24.9;387;71;47;1006.4
1623660543;"2021-06-14 17:49:03";25;380;72;46;1006.4
1623660846;"2021-06-14 17:54:06";25.1;387;73;46;1006.5
1623661149;"2021-06-14 17:59:09";25.2;401;73;47;1006.6
1623661451;"2021-06-14 18:04:11";25.3;392;73;47;1006.6
1623661753;"2021-06-14 18:09:13";25.3;397;73;48;1006.6
1623662056;"2021-06-14 18:14:16";25.2;399;71;50;1006.7
1623662358;"2021-06-14 18:19:18";24.9;382;71;46;1006.6
1623662661;"2021-06-14 18:24:21";24.8;383;72;50;1006.7
1623662963;"2021-06-14 18:29:23";24.8;383;72;49;1006.7
1623663265;"2021-06-14 18:34:25";24.9;374;73;49;1006.8
1623663568;"2021-06-14 18:39:28";25;401;73;48;1006.8
1623663870;"2021-06-14 18:44:30";25.1;409;73;47;1006.9
1623664173;"2021-06-14 18:49:33";25.2;413;73;48;1007
1623664475;"2021-06-14 18:54:35";25.2;420;72;48;1007
1623664777;"2021-06-14 18:59:37";25;397;72;47;1007.2
1623665079;"2021-06-14 19:04:39";25;390;73;47;1007.2
1623665382;"2021-06-14 19:09:42";25.1;408;73;49;1007.3
1623665684;"2021-06-14 19:14:44";25.2;420;73;51;1007.3
1623665987;"2021-06-14 19:19:47";25.3;422;73;49;1007.4
1623666290;"2021-06-14 19:24:50";25.1;416;72;45;1007.4
1623666592;"2021-06-14 19:29:52";25;382;72;45;1007.3
1623666894;"2021-06-14 19:34:54";25;367;73;45;1007.3
1623667197;"2021-06-14 19:39:57";25;385;73;45;1007.3
1623667499;"2021-06-14 19:44:59";25.1;382;73;45;1007.4
1623667802;"2021-06-14 19:50:02";25.2;375;73;46;1007.5
1623668104;"2021-06-14 19:55:04";25.3;372;73;48;1007.5
1623668406;"2021-06-14 20:00:06";25.2;375;71;46;1007.6
1623668709;"2021-06-14 20:05:09";25;349;72;45;1007.6
1623669011;"2021-06-14 20:10:11";25;357;73;45;1007.5
1623669314;"2021-06-14 20:15:14";25;360;73;45;1007.6
1623669616;"2021-06-14 20:20:16";25.1;397;73;43;1007.6
1623669919;"2021-06-14 20:25:19";25.2;386;73;42;1007.7
1623670221;"2021-06-14 20:30:21";25.2;372;72;42;1007.7
1623670524;"2021-06-14 20:35:24";25.2;356;72;42;1007.8
1623670826;"2021-06-14 20:40:26";25.2;355;72;41;1007.9
1623671128;"2021-06-14 20:45:28";25.2;338;72;40;1007.9
1623671430;"2021-06-14 20:50:30";25.2;355;72;41;1007.9
1623671733;"2021-06-14 20:55:33";25.3;346;72;41;1007.9
1623672035;"2021-06-14 21:00:35";25.2;342;72;42;1008
1623672338;"2021-06-14 21:05:38";25.2;342;72;41;1008.2
1623672640;"2021-06-14 21:10:40";25.2;338;72;42;1008.2
1623672942;"2021-06-14 21:15:42";25.2;341;72;41;1008.3
1623673245;"2021-06-14 21:20:45";25.2;332;72;40;1008.2
1623673547;"2021-06-14 21:25:47";25.2;341;72;40;1008.3
1623673850;"2021-06-14 21:30:50";25.2;360;72;40;1008.3
1623674152;"2021-06-14 21:35:52";25.2;355;72;41;1008.3
1623674454;"2021-06-14 21:40:54";25.2;347;72;41;1008.3
1623674756;"2021-06-14 21:45:56";25.2;342;72;41;1008.2
1623675059;"2021-06-14 21:50:59";25.2;355;72;41;1008.2
1623675361;"2021-06-14 21:56:01";25.2;341;72;42;1008.3
1623675664;"2021-06-14 22:01:04";25.2;341;72;40;1008.3
1623675966;"2021-06-14 22:06:06";25.2;360;72;39;1008.3
1623676269;"2021-06-14 22:11:09";25.2;342;72;40;1008.2
1623676571;"2021-06-14 22:16:11";25.2;335;72;41;1008.1
1623676874;"2021-06-14 22:21:14";25.2;409;72;41;1008.1
1623677176;"2021-06-14 22:26:16";25.2;408;72;41;1008
1623677478;"2021-06-14 22:31:18";25.2;388;72;41;1007.9
1623677781;"2021-06-14 22:36:21";25.2;403;72;41;1007.9
1623678084;"2021-06-14 22:41:24";25.2;406;72;40;1007.9
1623678386;"2021-06-14 22:46:26";25.2;398;72;40;1007.9
1623678688;"2021-06-14 22:51:28";25.2;399;72;40;1007.8
1623678991;"2021-06-14 22:56:31";25.2;402;72;41;1007.8
1623679293;"2021-06-14 23:01:33";25.2;395;72;41;1007.8
1623679596;"2021-06-14 23:06:36";25.2;414;72;41;1007.7
1623679898;"2021-06-14 23:11:38";25.2;402;72;41;1007.6
1623680200;"2021-06-14 23:16:40";25.2;395;72;41;1007.7
1623680503;"2021-06-14 23:21:43";25.2;376;72;40;1007.8
1623680805;"2021-06-14 23:26:45";25.2;407;72;39;1007.8
1623681108;"2021-06-14 23:31:48";25.1;407;72;40;1007.9
1623681410;"2021-06-14 23:36:50";25.1;379;72;41;1007.8
1623681713;"2021-06-14 23:41:53";25.1;404;72;41;1007.8
1623682015;"2021-06-14 23:46:55";25.1;401;72;41;1007.8
1623682317;"2021-06-14 23:51:57";25.1;394;72;41;1007.8
1623682620;"2021-06-14 23:57:00";25.1;378;72;41;1007.7
1623682922;"2021-06-15 00:02:02";25.1;390;72;39;1007.8
1623683225;"2021-06-15 00:07:05";25.1;383;72;40;1007.8
1623683527;"2021-06-15 00:12:07";25.1;387;72;40;1007.7
1623683830;"2021-06-15 00:17:10";25.1;379;72;41;1007.7
1623684132;"2021-06-15 00:22:12";25.1;371;72;41;1007.7
1623684434;"2021-06-15 00:27:14";25.1;382;72;41;1007.6
1623684737;"2021-06-15 00:32:17";25.1;390;72;41;1007.6
1623685039;"2021-06-15 00:37:19";25.1;387;72;40;1007.6
1623685341;"2021-06-15 00:42:21";25.1;383;72;39;1007.6
1623685643;"2021-06-15 00:47:23";25.1;375;72;40;1007.6
1623685946;"2021-06-15 00:52:26";25.1;365;72;40;1007.7
1623686248;"2021-06-15 00:57:28";25.1;387;72;41;1007.6
1623686551;"2021-06-15 01:02:31";25.1;378;72;41;1007.6
1623686853;"2021-06-15 01:07:33";25.1;379;72;41;1007.6
1623687156;"2021-06-15 01:12:36";25.1;383;72;41;1007.6
1623687458;"2021-06-15 01:17:38";25.1;383;72;39;1007.6
1623687760;"2021-06-15 01:22:40";25.1;371;72;40;1007.6
1623688063;"2021-06-15 01:27:43";25.1;390;72;40;1007.6
1623688365;"2021-06-15 01:32:45";25.1;375;72;41;1007.6
1623688667;"2021-06-15 01:37:47";25.1;375;72;41;1007.6
1623688970;"2021-06-15 01:42:50";25.1;379;72;41;1007.6
1623689272;"2021-06-15 01:47:52";25.1;375;73;41;1007.6
